year,month,day,wind_dir,sea_surface_temperature,wvht,water_level,time
2016,2,2,NA,6.778723404255319,0.9959574468085106,NA,2016-02-02
2016,2,3,NA,6.877083333333333,1.5410416666666666,NA,2016-02-03
2016,2,4,NA,6.897916666666667,2.19,NA,2016-02-04
2016,2,5,NA,6.708333333333333,1.98125,NA,2016-02-05
2016,2,6,NA,6.691666666666666,1.644375,NA,2016-02-06
2016,2,7,NA,6.64375,1.1210416666666667,NA,2016-02-07
2016,2,8,NA,6.621739130434783,3.557826086956522,NA,2016-02-08
2016,2,9,NA,6.572340425531915,4.2493617021276595,NA,2016-02-09
2016,2,10,NA,6.495555555555556,1.6015555555555556,NA,2016-02-10
2016,2,11,NA,6.406521739130435,1.5269565217391303,NA,2016-02-11
2016,2,12,NA,6.274358974358974,1.708205128205128,NA,2016-02-12
2016,2,13,NA,6.315555555555555,1.127111111111111,NA,2016-02-13
2016,2,14,NA,6.025,2.0425,NA,2016-02-14
2016,2,15,NA,6.0777777777777775,1.3511111111111112,NA,2016-02-15
2016,2,16,NA,6.1658536585365855,2.761219512195122,NA,2016-02-16
2016,2,17,NA,6.116666666666666,3.2072916666666664,NA,2016-02-17
2016,2,18,NA,6.083333333333333,2.082708333333333,NA,2016-02-18
2016,2,19,NA,6.41875,1.6845833333333333,NA,2016-02-19
2016,2,20,NA,6.297916666666667,2.0108333333333333,NA,2016-02-20
2016,2,21,NA,5.821276595744681,1.6514893617021276,NA,2016-02-21
2016,2,22,NA,5.972916666666666,1.265,NA,2016-02-22
2016,2,23,NA,6.133333333333333,1.0858333333333334,NA,2016-02-23
2016,2,24,NA,6.166666666666667,1.8391666666666666,NA,2016-02-24
2016,2,25,NA,6.270212765957447,2.714468085106383,NA,2016-02-25
2016,2,26,NA,5.979166666666667,2.5733333333333333,NA,2016-02-26
2016,2,27,NA,6.066666666666666,1.3560416666666666,NA,2016-02-27
2016,2,28,NA,6.126666666666666,1.3708888888888888,NA,2016-02-28
2016,2,29,NA,6.058333333333334,1.3639583333333334,NA,2016-02-29
2016,3,1,NA,5.729787234042553,1.214468085106383,NA,2016-03-01
2016,3,2,NA,5.878378378378379,2.2354054054054053,NA,2016-03-02
2016,3,3,NA,5.646875,1.794375,NA,2016-03-03
2016,3,4,NA,5.658333333333333,1.0566666666666666,NA,2016-03-04
2016,3,5,NA,5.831578947368421,3.4473684210526314,NA,2016-03-05
2016,3,6,NA,6.036666666666667,2.0756666666666668,NA,2016-03-06
2016,3,7,NA,5.895744680851064,1.3980851063829787,NA,2016-03-07
2016,3,8,NA,5.774418604651163,0.575813953488372,NA,2016-03-08
2016,3,9,NA,5.766666666666667,0.8466666666666667,NA,2016-03-09
2016,5,11,NA,8.39,0.498,NA,2016-05-11
2016,5,12,NA,8.754347826086956,0.465,NA,2016-05-12
2016,5,13,NA,8.329166666666666,0.556875,NA,2016-05-13
2016,5,14,NA,9.1,0.5779166666666666,NA,2016-05-14
2016,5,15,NA,8.921739130434784,1.1708695652173913,NA,2016-05-15
2016,5,16,NA,7.997674418604651,1.587906976744186,NA,2016-05-16
2016,5,17,NA,8.25909090909091,0.620909090909091,NA,2016-05-17
2016,5,18,NA,8.986363636363636,0.49113636363636365,NA,2016-05-18
2016,5,19,NA,9.55,0.34270833333333334,NA,2016-05-19
2016,5,20,NA,10.58125,0.49895833333333334,NA,2016-05-20
2016,5,21,NA,10.270833333333334,0.761875,NA,2016-05-21
2016,5,22,NA,9.841666666666667,0.6979166666666666,NA,2016-05-22
2016,5,23,NA,11.322916666666666,1.5075,NA,2016-05-23
2016,5,24,NA,10.908333333333333,1.2995833333333333,NA,2016-05-24
2016,5,25,NA,10.860416666666667,0.9864583333333333,NA,2016-05-25
2016,5,26,NA,11.816666666666666,0.749375,NA,2016-05-26
2016,5,27,NA,11.822916666666666,0.8150000000000001,NA,2016-05-27
2016,5,28,NA,12.6625,0.6595833333333333,NA,2016-05-28
2016,5,29,NA,12.378260869565217,0.8984782608695653,NA,2016-05-29
2016,5,30,NA,12.159574468085106,0.8208510638297872,NA,2016-05-30
2016,5,31,NA,12.4375,0.7445833333333334,NA,2016-05-31
2016,6,1,NA,13.227083333333333,0.7177083333333333,NA,2016-06-01
2016,6,2,NA,13.195833333333333,0.8575,NA,2016-06-02
2016,6,3,NA,13.212765957446809,0.9672340425531915,NA,2016-06-03
2016,6,4,NA,13.50625,0.8304166666666667,NA,2016-06-04
2016,6,5,NA,13.164444444444444,0.9522222222222222,NA,2016-06-05
2016,6,6,NA,13.080434782608696,1.6247826086956523,NA,2016-06-06
2016,6,7,NA,13.629166666666666,1.044375,NA,2016-06-07
2016,6,8,NA,13.302272727272728,0.9815909090909091,NA,2016-06-08
2016,6,9,NA,12.544444444444444,1.344888888888889,NA,2016-06-09
2016,6,10,NA,12.508510638297873,0.7521276595744681,NA,2016-06-10
2016,6,11,NA,12.639130434782608,0.38,NA,2016-06-11
2016,6,12,NA,12.568085106382979,0.7165957446808511,NA,2016-06-12
2016,6,13,NA,12.206521739130434,1.03,NA,2016-06-13
2016,6,14,NA,12.421276595744681,0.7938297872340425,NA,2016-06-14
2016,6,15,NA,13.208333333333334,0.44458333333333333,NA,2016-06-15
2016,6,16,NA,14.748936170212765,0.2976595744680851,NA,2016-06-16
2016,6,17,NA,14.886666666666667,0.3428888888888889,NA,2016-06-17
2016,6,18,NA,14.454166666666667,0.49,NA,2016-06-18
2016,6,19,NA,13.74375,0.82,NA,2016-06-19
2016,6,20,NA,13.440425531914894,1.093404255319149,NA,2016-06-20
2016,6,21,NA,14.554347826086957,1.2269565217391305,NA,2016-06-21
2016,6,22,NA,14.884782608695652,1.0406521739130434,NA,2016-06-22
2016,6,23,NA,15.395454545454546,0.8702272727272727,NA,2016-06-23
2016,6,24,NA,16.07872340425532,0.71,NA,2016-06-24
