station,lat,lon
44005,43.201,-69.128
44011,41.098,-66.619
44013,42.346,-70.651
44018,42.119,-69.7
44027,44.273,-67.314
44029,42.523,-70.566
44030,43.181,-70.428
44032,43.716,-69.355
44034,44.106,-68.109
44037,43.491,-67.88
44090,41.84,-70.329
